Rank,Prioridade,Finalidade,Status,Gerências,GPM,NOTA,ORDEM,DESCRICAO,Critério,OM - Status Sistema,OM - Status Usuário,Prazo demanda
1,9,Continuidade Operacional,Falta material,REFINO,CAL,14777191,2028284193,M-530A/B-Limpeza Interna(ZR),Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV MATF MOME NOLQ,SIMP TRIA EQEC PMVL ANEX MPOP MPMI 1ESC APRE GAD  CRIT,2023-10-27
2,9,Continuidade Operacional,Programável,REFINO,CAL,15047576,2028569762,J-588A/B-Limpar filtros sucção bombas,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU 1ESC CRIT,2024-03-14
3,9,Continuidade Operacional,Programável,HDT,CAL,15354954,2029162553,TV-2313187B/168AB(VAZ)-Reaperto flange,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE CRIT,2024-07-19
4,9,Vazamento,Falta material,UTILIDADES,CAL,15277764,2029013661,D-400(K-318)[VAZ]-Subst.Trech.,Prioridade máxima definida pela área demandante,TENC LIB  CNPA CAPC DMNV IMPA JBFI MATF*,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC GAD  CRIT,2024-10-04
5,9,Solicitação da Inspeção,Programável,REFINO,IEQ,14874881,2028521725,D-502-E  Remoção de canaleta p/ inspeção,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC CRIT,2024-12-29
6,9,Apoio de Rotina a Operação,Falta material,REFINO,CAL,15764250,2030016831,D-503(Próx.J-509)(VAZ)-Elim. Vazto.,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC MATF NOLQ,SIMP ANEX MPMI MPOP PMAU 1ESC APRE PRIA,2025-01-29
7,9,Continuidade Operacional,Falta material,REFINO,CAL,15613532,2029647390,XV-50205(VAZ)PQT105-Reaperto do flange,Prioridade máxima definida pela área demandante,LIB  CNPA CAPC IMPA KKMP NOLQ,FMAT IMPD TRIA EQEC ANEX MPOP MPMI 1ESC APRE CRIT,2025-01-31
8,9,Apoio de Rotina a Operação,Programável,REFINO,CAL,15643229,2029812835,J-510(Próx)[VAZ]PQT-113-Elim.vazam.,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC CRIT,2025-01-31
9,9,RESP,Programável,UTILIDADES,CAL,15749444,2030090337,P-0300057A(VAZ)-Subst.junta tubulação,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-01-31
10,9,00000000,Falta material,REFINO,CAL,15671694,2029739440,D-502B(N-503)-Reparos em Tubulação,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,FMAT IMPD TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-02-17
11,9,Demanda Não-crítica,TO GPI - Aguarda MSPR,UTILIDADES,INS,15526043,2029676517,CJ B V-416B Purgadores em falha,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP ABCO 1ESC,2025-02-28
12,9,RESP,Programável,TRANSFERÊNCIA,CAL,15881319,2030158393,XV-85036-Subst.válv. manual montante,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-03-28
